REPORT_NUM,IYEAR,SIGNIFICAN,CAUSE,latitude,longitude,ONSHORE_ST,TOTAL_COST,PIPE_DIAME,MATERIAL_I,INSTALLATI,SYSTEM_PAR,HubDist,eq_count,eq_max_mag,eq_avg_depth,pipe_type
20150127,2015,YES,EQUIPMENT FAILURE,41.299079,-87.744857,IL,331600,,MATERIAL OTHER THAN CARBON STEEL,UNKNOWN,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,1178702.6010809995,3,3.2,14.783333333333333,hazardous_liquid
20150090,2015,NO,MATERIAL FAILURE OF PIPE OR WELD,32.73570026,-91.8966339,LA,73395,26.0,CARBON STEEL,1948,"ONSHORE PIPELINE, INCLUDING VALVE SITES",632303.220726716,13,3.5,4.992307692307692,gas
20110025,2010,YES,CORROSION FAILURE,33.863333,-118.163889,CA,860700,16.0,CARBON STEEL,1935,ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,12850.112102531099,314,4.8,9.119977707006369,hazardous_liquid
20100103,2010,YES,EQUIPMENT FAILURE,32.35381,-91.83791,LA,284912,,CARBON STEEL,2010,"ONSHORE PIPELINE, INCLUDING VALVE SITES",654386.5732870606,19,3.2,6.777894736842105,gas
20160006,2015,NO,CORROSION FAILURE,32.53021,-100.83544,TX,23600,,CARBON STEEL,1950,ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,324152.7277710372,72,4.3,4.587083333333333,hazardous_liquid
20240169,2024,NO,EQUIPMENT FAILURE,48.22885,-101.36906,ND,9640,,CARBON STEEL,UNKNOWN,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,249114.03860660028,1,3.3,5.0,hazardous_liquid
20150039,2015,NO,CORROSION FAILURE,29.774558,-92.999676,LA,75154,,CARBON STEEL,1977,ONSHORE COMPRESSOR STATION EQUIPMENT AND PIPING,740859.5381808594,0,0.0,0.0,gas
20180375,2018,YES,OTHER OUTSIDE FORCE DAMAGE,32.4045947,-102.185039,TX,173000,,CARBON STEEL,2016,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,260995.7541330911,289,3.9,5.003940138408304,hazardous_liquid
20240240,2024,NO,CORROSION FAILURE,29.747946,-95.200645,TX,16470,12.0,CARBON STEEL,1955,ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,623172.3172647132,20,3.3,4.765,hazardous_liquid
20110172,2011,YES,INCORRECT OPERATION,40.706216,-84.1146149,OH,178010,22.0,CARBON STEEL,1952,"ONSHORE PIPELINE, INCLUDING VALVE SITES",1413888.9880573666,78,3.9,8.06423076923077,hazardous_liquid
20120083,2012,YES,CORROSION FAILURE,30.239319,-93.268658,LA,825050,,CARBON STEEL,1970,"ONSHORE BREAKOUT TANK OR STORAGE VESSEL, INCLUDING ATTACHED APPURTENANCES",685104.4674740959,4,4.2,5.4375,hazardous_liquid
20210216,2021,NO,CORROSION FAILURE,35.958902,-96.753343,OK,26255,24.0,CARBON STEEL,UNKNOWN,ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,197410.06149344658,2068,5.0,5.341645067698259,hazardous_liquid
20160033,2016,YES,MATERIAL FAILURE OF PIPE OR WELD,40.345787,-81.497545,OH,115550,,CARBON STEEL,1957,"ONSHORE PIPELINE, INCLUDING VALVE SITES",1607682.602780786,0,0.0,0.0,gas
20250131,2025,YES,EQUIPMENT FAILURE,39.757019,-108.152416,CO,236001,,CARBON STEEL,2008,"ONSHORE PIPELINE, INCLUDING VALVE SITES",75494.36977863872,14,3.75,5.909285714285715,hazardous_liquid
20170285,2017,NO,INCORRECT OPERATION,32.75599,-102.719168,TX,20600,,MATERIAL OTHER THAN CARBON STEEL,2015,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,225635.28707334577,11,3.3,4.826363636363637,hazardous_liquid
20250079,2025,YES,CORROSION FAILURE,44.26425619,-84.23518588,MI,211832,16.0,CARBON STEEL,1964,"ONSHORE PIPELINE, INCLUDING VALVE SITES",1604410.2230812723,137,4.4,5.998131386861314,gas
20180084,2017,YES,EQUIPMENT FAILURE,47.26967,-98.02783,ND,161302,,CARBON STEEL,1991,"ONSHORE PIPELINE, INCLUDING VALVE SITES",513515.9715138897,1,3.3,5.0,hazardous_liquid
20160209,2016,NO,EQUIPMENT FAILURE,40.770458,-81.410174,OH,6402,,CARBON STEEL,UNKNOWN,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,1629467.3803005302,78,3.9,8.06423076923077,hazardous_liquid
20160373,2016,NO,OTHER ACCIDENT CAUSE,33.805501,-98.571215,TX,18505,8.625,CARBON STEEL,UNKNOWN,"ONSHORE PIPELINE, INCLUDING VALVE SITES",106712.1183069062,3299,5.8,5.651424067899363,hazardous_liquid
20110185,2011,NO,EQUIPMENT FAILURE,32.06456,-96.86533,TX,2065,,,,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,322650.75617949304,67,4.3,4.717611940298507,hazardous_liquid
20220069,2022,YES,EQUIPMENT FAILURE,28.31616,-91.90833,,520184,,CARBON STEEL,2007,"OFFSHORE PIPELINE, INCLUDING RISER AND RISER BEND",933049.9522700754,0,0.0,0.0,gas
20210096,2021,YES,CORROSION FAILURE,34.237801,-97.493738,OK,57800,4.5,CARBON STEEL,UNKNOWN,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,90747.12065717943,1915,5.7,5.30116501305483,hazardous_liquid
